track_name,track_id,album_name,album_id,artist_name,artist_id,track_popularity,explicit,track_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Wish You The Best,3W5KHP0Yr56ejVDns9vci3,Wish You The Best,7dhkqX7ovYADB1xwZr9bwS,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,1,False,https://open.spotify.com/track/3W5KHP0Yr56ejVDns9vci3,0.675,0.48,3,-3.658,1,0.0316,0.547,0,0.0943,0.491,107.86
vampire,3k79jB4aGmMDUQzEwa46Rz,vampire,5kqfR7EuGbyp8x27Pr1kY9,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,16,True,https://open.spotify.com/track/3k79jB4aGmMDUQzEwa46Rz,0.484,0.53,5,-5.82,1,0.054,0.148,0,0.283,0.319,136.874
you broke me first,45bE4HXI0AwGZXfZtMp8JR,you broke me first,1RWiRfdNZKDe8VXzzf2VEc,Tate McRae,45dkTj5sMRSjrmBSBeiHym,30,True,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148
good 4 u,4ZtFanR9U6ndgddUvNcjcG,SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,80,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,84,False,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891
Back To Black,30FURVTCpbKyykjSEQzGkH,Back To Black,097eYvf9NKjFnv4xA9s2oV,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,67,True,https://open.spotify.com/track/30FURVTCpbKyykjSEQzGkH,0.49,0.725,10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,79,False,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.43
exes,0HD8mbiPjp3o94X3EaZp0o,exes,54FpKE2Pug3xbPz26WUVSH,Tate McRae,45dkTj5sMRSjrmBSBeiHym,33,True,https://open.spotify.com/track/0HD8mbiPjp3o94X3EaZp0o,0.822,0.578,5,-6.542,0,0.0582,0.164,0.000252,0.11,0.627,136.966
traitor,5CZ40GBx1sQ9agT82CLQCT,SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,81,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,0JGOiO34nwfUdDrD612dOp,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,79,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055
