track_name,track_id,album_name,album_id,artist_name,artist_id,track_popularity,explicit,track_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Tomorrow,15zmzawx6s7TYKHAFGYdSB,Tomorrow,5ACBYcXVHKyxObWvuR29wH,James Carter,5344K3N7rx7kw1HjO8psuq,52,False,https://open.spotify.com/track/15zmzawx6s7TYKHAFGYdSB,0.68,0.849,0,-4.393,0,0.0391,0.0273,0.000594,0.239,0.572,126.011
All I Want Is You,5lebcpNhPX5sAPUjKyyYgY,All I Want Is You,24k3mEFlEnke4PjmDu59NJ,Lavern,03y4yOxhLk6MDJ1bV424uO,59,False,https://open.spotify.com/track/5lebcpNhPX5sAPUjKyyYgY,0.708,0.776,5,-10.171,1,0.0509,0.561,0.732,0.175,0.179,122.075
Close Your Eyes,11ZLztlvXKdaortTq9gDaG,Close Your Eyes,26ML5knqJbLOSoU6isAq4H,Matt Sassari,21dVknSLCsK37cWozWDZZS,51,False,https://open.spotify.com/track/11ZLztlvXKdaortTq9gDaG,0.592,0.833,0,-6.892,0,0.0342,0.00441,0.0017,0.41,0.125,128.043
Hold on Me,43FNnp0KnanReB8KCTl97p,Hold on Me,4IakmM35Ob6hbaNQ6giuFj,Why U So,4oxwokKRwskQbaEFsCHyeS,56,False,https://open.spotify.com/track/43FNnp0KnanReB8KCTl97p,0.739,0.639,3,-7.053,0,0.0362,0.175,0.648,0.0939,0.117,121.018
Head Underwater - James Carter Remix,5mNOhqvMV2Hj77yYO07gGS,Head Underwater (James Carter Remix),4JOoZ1ckKAFgIj1oCJgHvv,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,44,False,https://open.spotify.com/track/5mNOhqvMV2Hj77yYO07gGS,0.725,0.813,11,-6.989,0,0.0377,0.291,0.000161,0.331,0.493,118.031
Heartbreak,0Gbpzzf8oLuFNSLYAvov3I,Heartbreak,37B1K70ov6LUqjIvuWsonh,James Carter,5344K3N7rx7kw1HjO8psuq,53,False,https://open.spotify.com/track/0Gbpzzf8oLuFNSLYAvov3I,0.736,0.878,8,-5.162,0,0.042,0.421,0.0719,0.115,0.169,125.006
Whatever (with Ava Max) - Lavern Remix,6F1TZFpmdnbI9CTMRs7jJo,Whatever (The Remixes),4wqObiiJfSvC0W52YG1X0s,Kygo,23fqKkggKUBHNkbKtXEls4,43,False,https://open.spotify.com/track/6F1TZFpmdnbI9CTMRs7jJo,0.704,0.917,0,-6.313,0,0.0773,0.486,0.00138,0.261,0.191,126.068
Let Go,1qhdqpo6lgejiIOoaACXNG,Let Go,26kfhv3S8MoeN7pzh2FSPE,Lavern,03y4yOxhLk6MDJ1bV424uO,52,False,https://open.spotify.com/track/1qhdqpo6lgejiIOoaACXNG,0.589,0.981,5,-5.235,0,0.0348,0.282,0.602,0.307,0.0362,129.986
Tell Me Why - James Carter Remix,2nNhJdmG0qEI096xXuC0kr,Tell Me Why (James Carter Remix),1TUiyMi8aRZvTqzNTCUSxx,Supermode,7urnl0uH1w3NCoErxw7AUK,45,False,https://open.spotify.com/track/2nNhJdmG0qEI096xXuC0kr,0.577,0.972,11,-6.492,0,0.0403,0.0313,0.719,0.151,0.0328,124.035
the things that bring me joy,3OWoUTFewCAnGIkFHdL6KK,the things that bring me joy,3JVhoz6UJv6hrpRtPXtdJh,Luca,4hheW577K2nAMAwDuTGAA4,55,False,https://open.spotify.com/track/3OWoUTFewCAnGIkFHdL6KK,0.769,0.46,11,-11.988,0,0.345,0.338,0.0693,0.477,0.215,126.026
